variant,run_id,mse_gen_vs_target,mse_cond_vs_target,trajectory_pt,target_pt
uniform__sigmoid,20260305_205507,0.009045315,0.00069224928,/Users/ryanpadnis/EE269Project/diffusion/results/V9/uniform__sigmoid/20260305_205507/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/uniform__sigmoid/20260305_205507/samples/ddpm/sample_0/target_time.pt
mu_law__cosine,20260305_222240,0.010392607,0.0018984006,/Users/ryanpadnis/EE269Project/diffusion/results/V9/mu_law__cosine/20260305_222240/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/mu_law__cosine/20260305_222240/samples/ddpm/sample_0/target_time.pt
lloyd_max__linear,20260305_211221,0.010874405,0.00029760724,/Users/ryanpadnis/EE269Project/diffusion/results/V9/lloyd_max__linear/20260305_211221/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/lloyd_max__linear/20260305_211221/samples/ddpm/sample_0/target_time.pt
uniform__cosine,20260305_203731,0.011254754,0.00069224928,/Users/ryanpadnis/EE269Project/diffusion/results/V9/uniform__cosine/20260305_203731/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/uniform__cosine/20260305_203731/samples/ddpm/sample_0/target_time.pt
lloyd_max__sigmoid,20260305_214732,0.011656484,0.00029760724,/Users/ryanpadnis/EE269Project/diffusion/results/V9/lloyd_max__sigmoid/20260305_214732/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/lloyd_max__sigmoid/20260305_214732/samples/ddpm/sample_0/target_time.pt
mu_law__sigmoid,20260305_224021,0.012514786,0.0018984006,/Users/ryanpadnis/EE269Project/diffusion/results/V9/mu_law__sigmoid/20260305_224021/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/mu_law__sigmoid/20260305_224021/samples/ddpm/sample_0/target_time.pt
dithered_uniform__sigmoid,20260306_002946,0.012899793,0.002170607,/Users/ryanpadnis/EE269Project/diffusion/results/V9/dithered_uniform__sigmoid/20260306_002946/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/dithered_uniform__sigmoid/20260306_002946/samples/ddpm/sample_0/target_time.pt
uniform__linear,20260305_190038,0.014286472,0.00069224928,/Users/ryanpadnis/EE269Project/diffusion/results/V9/uniform__linear/20260305_190038/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/uniform__linear/20260305_190038/samples/ddpm/sample_0/target_time.pt
lloyd_max__cosine,20260305_212954,0.014360216,0.00029760724,/Users/ryanpadnis/EE269Project/diffusion/results/V9/lloyd_max__cosine/20260305_212954/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/lloyd_max__cosine/20260305_212954/samples/ddpm/sample_0/target_time.pt
dithered_uniform__linear,20260305_225756,0.014660964,0.0020632281,/Users/ryanpadnis/EE269Project/diffusion/results/V9/dithered_uniform__linear/20260305_225756/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/dithered_uniform__linear/20260305_225756/samples/ddpm/sample_0/target_time.pt
mu_law__linear,20260305_220511,0.015062519,0.0018984006,/Users/ryanpadnis/EE269Project/diffusion/results/V9/mu_law__linear/20260305_220511/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/mu_law__linear/20260305_220511/samples/ddpm/sample_0/target_time.pt
dithered_uniform__cosine,20260305_231515,0.015114821,0.0020949377,/Users/ryanpadnis/EE269Project/diffusion/results/V9/dithered_uniform__cosine/20260305_231515/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V9/dithered_uniform__cosine/20260305_231515/samples/ddpm/sample_0/target_time.pt
