variant,run_id,mse_gen_vs_target,mse_cond_vs_target,trajectory_pt,target_pt
dithered_uniform__sigmoid,20260301_015917,0.020488659,0.012211652,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__sigmoid/20260301_015917/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__sigmoid/20260301_015917/samples/ddpm/sample_15/target_time.pt
lloyd_max__cosine,20260228_235257,0.023543881,0.00098561775,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__cosine/20260228_235257/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__cosine/20260228_235257/samples/ddpm/sample_15/target_time.pt
mu_law__cosine,20260301_004659,0.024188459,0.0071667745,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__cosine/20260301_004659/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__cosine/20260301_004659/samples/ddpm/sample_15/target_time.pt
lloyd_max__sigmoid,20260301_001102,0.027881375,0.00098561775,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__sigmoid/20260301_001102/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__sigmoid/20260301_001102/samples/ddpm/sample_15/target_time.pt
uniform__sigmoid,20260228_231710,0.03023768,0.0041975705,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__sigmoid/20260228_231710/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__sigmoid/20260228_231710/samples/ddpm/sample_15/target_time.pt
uniform__linear,20260228_171844,0.032855392,0.0041975705,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__linear/20260228_171844/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__linear/20260228_171844/samples/ddpm/sample_15/target_time.pt
uniform__cosine,20260228_225912,0.039575815,0.0041975705,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__cosine/20260228_225912/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__cosine/20260228_225912/samples/ddpm/sample_15/target_time.pt
dithered_uniform__cosine,20260301_014116,0.039936148,0.012342773,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__cosine/20260301_014116/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__cosine/20260301_014116/samples/ddpm/sample_15/target_time.pt
lloyd_max__linear,20260228_233459,0.040088501,0.00098561775,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__linear/20260228_233459/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__linear/20260228_233459/samples/ddpm/sample_15/target_time.pt
dithered_uniform__linear,20260301_012309,0.040582009,0.012692535,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__linear/20260301_012309/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__linear/20260301_012309/samples/ddpm/sample_15/target_time.pt
mu_law__sigmoid,20260301_010509,0.043300759,0.0071667745,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__sigmoid/20260301_010509/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__sigmoid/20260301_010509/samples/ddpm/sample_15/target_time.pt
mu_law__linear,20260301_002905,0.04431127,0.0071667745,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__linear/20260301_002905/samples/ddpm/sample_15/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__linear/20260301_002905/samples/ddpm/sample_15/target_time.pt
